corpus,study_id,set,multilab,social,z_orig,z_repli,n_orig,n_repli,se_orig,se_repli,pub_expanded
osc,OSC_50,train,0,1,0.211141100838117,0.1563036918570825,98,109,0.10259783520851541,0.09712858623572641,NA
osc,OSC_52,train,0,1,0.20871567209305558,0.09430020472425155,133,113,0.08770580193070293,0.09534625892455924,NA
osc,OSC_53,train,0,1,0.39670589691203934,0.07685162002786516,48,75,0.14907119849998599,0.11785113019775793,NA
osc,OSC_55,train,0,1,0.23403348565799575,0.06622666016266096,57,71,0.13608276348795434,0.12126781251816648,NA
osc,OSC_56,train,0,1,0.3990543011208611,-0.04216507457967953,103,83,0.1,0.11180339887498948,NA
osc,OSC_58,train,0,1,0.1688758822640618,0.03676831017690544,186,280,0.07392212709545729,0.06008417681261097,NA
osc,OSC_61,train,0,1,0.22330608972466862,-0.004719381037249494,110,222,0.09667364890456635,0.06757373783994859,NA
osc,OSC_63,train,0,1,0.28119447970479067,0.07393169914172715,71,148,0.12126781251816648,0.08304547985373997,NA
osc,OSC_64,train,0,1,0.4543849700101476,0.11434960227696839,82,71,0.1125087900926024,0.12126781251816648,NA
osc,OSC_65,train,0,1,0.46218779550530215,0.011721701817772458,45,135,0.1543033499620919,0.08703882797784893,NA
osc,OSC_68,train,0,1,0.18803505671110696,0.0030014970134473644,122,226,0.09166984970282113,0.06696495301824251,NA
osc,OSC_71,train,0,1,0.225897217190119,0.07348572994407541,375,177,0.05184758473652126,0.07580980435789034,NA
osc,OSC_72,train,0,1,0.2107069538373975,0.04452522036505802,261,251,0.062257280636469035,0.06350006350009525,NA
osc,OSC_73,train,0,1,0.33451751586186546,0.2027325540540822,37,120,0.17149858514250882,0.09245003270420485,NA
osc,OSC_80,train,0,1,0.26606393505837145,0.15666464634450175,46,70,0.15249857033260467,0.12216944435630522,NA
osc,OSC_81,train,0,1,0.2750083865727453,-0.10198941167543697,94,141,0.10482848367219183,0.08512565307587486,NA
osc,OSC_82,train,0,1,0.30951960420311175,0.27686382265510007,50,50,0.14586499149789456,0.14586499149789456,NA
osc,OSC_84,train,0,1,0.5539162964900023,0.22109581033885273,52,150,0.14285714285714285,0.08247860988423225,NA
osc,OSC_86,train,0,1,0.21527949148296693,0.11937236994972508,85,140,0.11043152607484653,0.0854357657716761,NA
osc,OSC_87,train,0,1,0.41837337764479177,0.013046191117013967,55,51,0.1386750490563073,0.14433756729740646,NA
osc,OSC_89,train,0,1,0.1407385471018891,0.029413179190426266,163,304,0.07905694150420949,0.0576390417704235,NA
osc,OSC_93,train,0,1,0.32882322257044133,-0.13593106922441375,91,76,0.10660035817780521,0.11704114719613057,NA
osc,OSC_94,train,0,1,0.3589774188359443,0.29824789584103883,28,61,0.2,0.13130643285972254,NA
osc,OSC_97,train,0,1,0.3980449637040193,-0.03695215573803545,90,1490,0.10721125348377948,0.02593250771305829,NA
osc,OSC_104,train,0,1,0.12808829245428732,0.018378584979961903,236,1146,0.06551217820804184,0.029578550313870463,NA
osc,OSC_106,train,0,0,0.4020998167736918,-0.2267277126679857,36,47,0.17407765595569785,0.15075567228888181,NA
osc,OSC_107,train,0,1,0.22610618857223108,0.10532958523805769,86,158,0.10976425998969035,0.08032193289024989,NA
osc,OSC_110,train,0,1,0.6247508568134915,0.09141649777217642,280,144,0.06008417681261097,0.0842151921066519,NA
osc,OSC_111,train,0,0,0.34669477755081973,0.22972166660780108,59,120,0.1336306209562122,0.09245003270420485,NA
